a1,a2,b1,b2,a_rating,commonness,definiteness,domain,difficulty
london,england,brussels,belgium,5.0,Common,Definite,Intra-domain,medium
london,england,copenhagen,denmark,5.0,Common,Definite,Intra-domain,medium
london,england,cardiff,wales,5.0,Common,Definite,Intra-domain,medium
london,england,delhi,india,5.0,Common,Definite,Intra-domain,medium
london,england,doha,qatar,5.0,Common,Definite,Intra-domain,medium
london,england,ottawa,canada,5.0,Common,Definite,Intra-domain,medium
london,england,paris,france,5.0,Common,Definite,Intra-domain,medium
london,england,rome,italy,5.0,Common,Definite,Intra-domain,medium
london,england,tokyo,japan,5.0,Common,Definite,Intra-domain,medium
london,england,dhaka,bangladesh,4.8,Common,Definite,Intra-domain,medium
london,england,munich,germany,4.0,Common,Definite,Intra-domain,medium
london,england,copenhagen,cape,1.8,Common,Definite,Intra-domain,medium
london,england,china,africa,1.0,Common,Definite,Intra-domain,medium
tumor,cancer,inflammation,swelling,4.6,Common,Definite,Intra-domain,advanced
tumor,cancer,nausea,vomiting,4.4,Common,Indefinite,Intra-domain,advanced
tumor,cancer,bruise,redness,3.8,Common,Definite,Intra-domain,advanced
tumor,cancer,fever,temperature,3.4,Common,Indefinite,Intra-domain,advanced
tumor,cancer,cancer,yellowish,1.4,Common,Indefinite,Intra-domain,advanced
tumor,cancer,attack,smile,1.0,Common,Indefinite,Cross-domain,advanced
stethoscope,doctor,gun,police,4.6,Common,Definite,Intra-domain,hard
stethoscope,doctor,pen,writer,4.4,Common,Definite,Intra-domain,hard
stethoscope,doctor,chalk,teacher,4.2,Common,Indefinite,Intra-domain,hard
stethoscope,doctor,mike,orator,4.2,Common,Indefinite,Cross-domain,hard
stethoscope,doctor,hammer,mechanic,3.8,Common,Indefinite,Cross-domain,hard
stethoscope,doctor,laptop,engineer,3.0,Common,Indefinite,Intra-domain,hard
stethoscope,doctor,wire,painter,2.6,Common,Indefinite,Cross-domain,hard
stethoscope,doctor,microscope,farmer,1.2,Common,Indefinite,Cross-domain,hard
keyboard,finger,flute,lips,5.0,Common,Definite,Intra-domain,hard
keyboard,finger,piano,finger,4.6,Common,Indefinite,Intra-domain,hard
keyboard,finger,mike,mouth,4.2,Common,Definite,Intra-domain,hard
keyboard,finger,headphone,ear,4.0,Common,Indefinite,Intra-domain,hard
keyboard,finger,screen,eye,3.8,Common,Definite,Intra-domain,hard
keyboard,finger,pedal,leg,3.6,Common,Indefinite,Cross-domain,hard
keyboard,finger,tube,elbow,1.0,Common,Indefinite,Cross-domain,hard
cup,coffee,bowl,soup,5.0,Common,Indefinite,Intra-domain,medium
cup,coffee,jug,water,4.6,Common,Indefinite,Intra-domain,medium
cup,coffee,plate,food,4.0,Common,Indefinite,Intra-domain,medium
cup,coffee,pan,pizza,3.8,Common,Indefinite,Intra-domain,medium
cup,coffee,spoon,pasta,3.4,Common,Definite,Intra-domain,medium
cup,coffee,cooker,rice,3.0,Common,Indefinite,Intra-domain,medium
cup,coffee,bottle,vegetable,1.0,Common,Indefinite,Intra-domain,medium
cup,coffee,potato,tea,1.0,Common,Indefinite,Cross-domain,medium
fireplace,fire,chimney,smoke,5.0,Common,Definite,Intra-domain,hard
fireplace,fire,bulb,light,4.2,Common,Definite,Intra-domain,hard
fireplace,fire,tap,water,4.0,Common,Definite,Intra-domain,hard
fireplace,fire,drawer,tools,3.6,Common,Indefinite,Cross-domain,hard
fireplace,fire,window,breeze,3.2,Common,Indefinite,Cross-domain,hard
fireplace,fire,cooler,air,3.0,Common,Definite,Cross-domain,hard
fireplace,fire,cigarette,ash,2.6,Common,Definite,Cross-domain,hard
fireplace,fire,table,fork,2.1,Common,Indefinite,Cross-domain,hard
fireplace,fire,sweet,flood,1.0,Common,Indefinite,Cross-domain,hard
bed,sleep,pool,swim,5.0,Common,Definite,Intra-domain,medium
bed,sleep,shower,bathe,4.8,Common,Definite,Intra-domain,medium
bed,sleep,sofa,sit,4.6,Common,Definite,Intra-domain,medium
bed,sleep,stove,cook,4.6,Common,Definite,Cross-domain,medium
bed,sleep,stair,climb,3.8,Common,Definite,Intra-domain,medium
bed,sleep,study,read,3.1,Common,Indefinite,Cross-domain,medium
bed,sleep,chair,fall,1.8,Common,Indefinite,Cross-domain,medium
bed,sleep,bathroom,dance,1.2,Common,Indefinite,Cross-domain,medium
lamp,light,fan,air,5.0,Common,Definite,Cross-domain,hard
lamp,light,sun,heat,5.0,Common,Indefinite,Intra-domain,hard
lamp,light,lighter,fire,4.2,Common,Definite,Intra-domain,hard
lamp,light,cloud,rain,3.8,Common,Indefinite,Intra-domain,hard
lamp,light,coal,diamond,3.2,Common,Indefinite,Cross-domain,hard
lamp,light,rain,rainbow,2.8,Common,Definite,Cross-domain,hard
lamp,light,cooler,snow,2.6,Common,Indefinite,Cross-domain,hard
lamp,light,laptop,air,2.0,Common,Indefinite,Cross-domain,hard
lamp,light,storm,lake,1.0,Common,Indefinite,Cross-domain,hard
ennui,boredom,rendezvous,tryst,5.0,Unc,Indefinite,Cross-domain,advanced
ennui,boredom,virtuoso,star,5.0,Unc,Indefinite,Intra-domain,advanced
ennui,boredom,antiquity,relic,4.3,Unc,Definite,Cross-domain,advanced
ennui,boredom,lathe,turret,3.1,Unc,Indefinite,Cross-domain,advanced
ennui,boredom,exagerrate,request,2.0,Unc,Indefinite,Cross-domain,advanced
ennui,boredom,negotiate,kill,1.0,Unc,Indefinite,Cross-domain,advanced
good,bad,high,low,5.0,Common,Definite,Intra-domain,easy
good,bad,old,young,5.0,Common,Definite,Cross-domain,easy
good,bad,clean,dirty,4.8,Common,Indefinite,Intra-domain,easy
good,bad,long,small,4.4,Common,Definite,Cross-domain,easy
good,bad,root,tip,3.4,Common,Definite,Cross-domain,easy
good,bad,hit,walk,2.0,Common,Indefinite,Cross-domain,easy
good,bad,wide,hard,1.2,Common,Indefinite,Cross-domain,easy
love,hate,fun,boredom,5.0,Common,Definite,Intra-domain,hard
love,hate,attract,disgust,4.6,Common,Definite,Intra-domain,hard
love,hate,confidence,fear,4.0,Common,Definite,Intra-domain,hard
love,hate,excitement,indifference,3.2,Common,Indefinite,Intra-domain,hard
love,hate,anger,hard,1.8,Common,Indefinite,Intra-domain,hard
love,hate,smile,nervous,1.6,Common,Indefinite,Intra-domain,hard
apple,red,sapodilla,brown,5.0,Unc,Indefinite,Intra-domain,easy
apple,red,grape,purple,4.8,Common,Indefinite,Intra-domain,easy
apple,red,banana,yellow,4.6,Common,Indefinite,Intra-domain,easy
apple,red,watermelon,green,4.6,Common,Definite,Intra-domain,easy
apple,red,plum,red,4.0,Common,Indefinite,Intra-domain,easy
apple,red,peach,yellow,3.8,Common,Indefinite,Intra-domain,easy
fire,hot,ice,cold,5.0,Common,Definite,Intra-domain,medium
fire,hot,candy,sweet,4.8,Common,Definite,Cross-domain,medium
fire,hot,cotton,soft,3.6,Common,Indefinite,Cross-domain,medium
fire,hot,tea,hot,3.4,Common,Indefinite,Cross-domain,medium
fire,hot,grass,wet,2.8,Common,Indefinite,Cross-domain,medium
fire,hot,tree,brown,1.6,Common,Definite,Cross-domain,medium
eye,see,ear,hear,5.0,Common,Definite,Intra-domain,medium
eye,see,nose,smell,5.0,Common,Definite,Intra-domain,medium
eye,see,skin,feel,4.8,Common,Definite,Intra-domain,medium
eye,see,tongue,taste,4.8,Common,Definite,Intra-domain,medium
eye,see,leg,walk,4.8,Common,Definite,Intra-domain,medium
eye,see,tooth,eat,4.2,Common,Definite,Intra-domain,medium
keyboard,type,pen,write,5.0,Common,Definite,Intra-domain,medium
keyboard,type,saw,cut,5.0,Common,Definite,Intra-domain,medium
keyboard,type,mirror,reflect,4.6,Common,Definite,Cross-domain,medium
keyboard,type,fan,air,3.8,Common,Definite,Intra-domain,medium
keyboard,type,bag,storage,3.6,Common,Definite,Cross-domain,medium
keyboard,type,car,motion,2.1,Common,Definite,Intra-domain,medium
keyboard,type,laptop,dance,1.2,Common,Indefinite,Intra-domain,medium
kakapo,flightless,stabyhoun,peaceful,5.0,Unc,Indefinite,Intra-domain,advanced
kakapo,flightless,bulbasaur,reptilian,4.0,Unc,Indefinite,Cross-domain,advanced
kakapo,flightless,pisces,dreamy,3.8,Unc,Indefinite,Cross-domain,advanced
kakapo,flightless,campion,odorless,2.6,Unc,Indefinite,Cross-domain,advanced
kakapo,flightless,poodle,pompret,2.2,Unc,Indefinite,Cross-domain,advanced
kakapo,flightless,stingray,steak,1.2,Unc,Definite,Intra-domain,advanced
joke,laughter,alcohol,hangover,4.2,Common,Indefinite,Cross-domain,hard
joke,laughter,sad,tears,4.0,Common,Definite,Intra-domain,hard
joke,laughter,fever,weakness,3.6,Common,Indefinite,Cross-domain,hard
joke,laughter,shower,clean,3.4,Common,Indefinite,Cross-domain,hard
joke,laughter,exercise,hunger,3.0,Common,Indefinite,Cross-domain,hard
joke,laughter,joy,shiver,2.0,Common,Indefinite,Cross-domain,hard
pinch,pain,hug,comfort,5.0,Common,Definite,Intra-domain,hard
pinch,pain,cold,frostbite,5.0,Common,Indefinite,Intra-domain,hard
pinch,pain,heat,scald,4.0,Common,Indefinite,Intra-domain,hard
pinch,pain,scold,cry,3.4,Common,Indefinite,Intra-domain,hard
pinch,pain,fear,scream,3.0,Common,Indefinite,Cross-domain,hard
pinch,pain,run,laugh,1.4,Common,Indefinite,Cross-domain,hard
pinch,pain,anger,dance,1.2,Common,Indefinite,Cross-domain,hard
kitchen,utensils,library,books,5.0,Common,Definite,Intra-domain,medium
kitchen,utensils,garage,cars,4.0,Common,Indefinite,Cross-domain,medium
kitchen,utensils,washroom,tissues,4.0,Common,Indefinite,Cross-domain,medium
kitchen,utensils,office,files,3.8,Common,Indefinite,Cross-domain,medium
kitchen,utensils,gallery,flowers,2.0,Common,Indefinite,Cross-domain,medium
kitchen,utensils,shop,body,2.0,Common,Indefinite,Cross-domain,medium
school,teacher,university,professor,5.0,Common,Definite,Intra-domain,medium
school,teacher,farm,farmer,4.8,Common,Definite,Cross-domain,medium
school,teacher,laboratory,scientist,4.8,Common,Definite,Intra-domain,medium
school,teacher,office,employee,4.2,Common,Definite,Intra-domain,medium
school,teacher,jungle,hunter,3.4,Common,Indefinite,Intra-domain,medium
school,teacher,farm,doctor,1.2,Common,Indefinite,Intra-domain,medium
bodega,wine,hangar,planes,5.0,Common,Definite,Cross-domain,advanced
bodega,wine,apothecary,medicine,4.8,Unc,Definite,Cross-domain,advanced
bodega,wine,columbarium,urn,3.8,Unc,Definite,Intra-domain,advanced
bodega,wine,botique,military,2.8,Unc,Definite,Cross-domain,advanced
bodega,wine,closet,fish,2.6,Common,Definite,Intra-domain,advanced
bodega,wine,arsenal,honey,1.6,Common,Indefinite,Cross-domain,advanced
india,delhi,austria,vienna,5.0,Common,Definite,Intra-domain,easy
india,delhi,bangladesh,dhaka,5.0,Common,Definite,Intra-domain,easy
india,delhi,france,paris,5.0,Common,Definite,Intra-domain,easy
india,delhi,pakistan,karachi,4.8,Common,Definite,Intra-domain,easy
india,delhi,germany,munich,4.0,Common,Indefinite,Intra-domain,easy
india,delhi,italy,zulu,2.2,Common,Definite,Intra-domain,easy
armenia,yerevan,azerbaijan,baku,5.0,Unc,Definite,Intra-domain,advanced
armenia,yerevan,montenegro,podgorica,4.8,Unc,Definite,Intra-domain,advanced
armenia,yerevan,croatia,maasai,1.25,Unc,Indefinite,Intra-domain,advanced
armenia,yerevan,micronesia,palikir,4.2,Unc,Definite,Intra-domain,advanced
armenia,yerevan,uzbekistan,yemen,1.4,Unc,Definite,Cross-domain,advanced
armenia,yerevan,andorra,russia,1.0,Unc,Definite,Cross-domain,advanced
latvia,lats,kazakhstan,tenge,4.8,Unc,Definite,Intra-domain,advanced
latvia,lats,korea,won,4.8,Unc,Definite,Intra-domain,advanced
latvia,lats,israel,shekel,4.2,Unc,Definite,Intra-domain,advanced
latvia,lats,russia,yuan,3.2,Unc,Definite,Intra-domain,advanced
latvia,lats,nepal,dollar,1.8,Unc,Indefinite,Intra-domain,advanced
latvia,lats,laos,trinadad,1.0,Unc,Indefinite,Cross-domain,advanced
england,english,bulgaria,bulgarian,5.0,Common,Definite,Intra-domain,easy
england,english,cuba,spanish,4.75,Common,Indefinite,Intra-domain,easy
england,english,japan,japanese,5.0,Common,Definite,Intra-domain,easy
england,english,bahamas,english,3.4,Common,Definite,Intra-domain,easy
england,english,india,english,2.6,Common,Definite,Intra-domain,easy
england,english,china,hindi,1.2,Unc,Definite,Intra-domain,easy
fiji,fijian,finland,finnish,5.0,Unc,Definite,Intra-domain,advanced
fiji,fijian,guinea,susu,4.4,Unc,Definite,Intra-domain,advanced
fiji,fijian,madagascar,french,3.0,Unc,Indefinite,Intra-domain,advanced
fiji,fijian,nigeria,english,2.8,Unc,Definite,Intra-domain,advanced
fiji,fijian,brazil,japanese,1.0,Unc,Definite,Intra-domain,advanced
nicaragua,spanish,kenya,swahili,5.0,Unc,Definite,Intra-domain,advanced
nicaragua,spanish,suriname,dutch,4.8,Unc,Definite,Intra-domain,advanced
nicaragua,spanish,kyrgyztan,kirghiz,4.5,Unc,Indefinite,Intra-domain,advanced
nicaragua,spanish,cambodia,khmer,4.0,Unc,Definite,Intra-domain,advanced
nicaragua,spanish,albania,hindi,2.6,Unc,Definite,Intra-domain,advanced
nicaragua,spanish,aruba,ruble,1.2,Unc,Indefinite,Cross-domain,advanced
morocco,berber,nigeria,hausa,5.0,Unc,Definite,Intra-domain,advanced
morocco,berber,nauru,nauruan,4.4,Unc,Definite,Intra-domain,advanced
morocco,berber,senegal,pulaar,4.2,Unc,Definite,Intra-domain,advanced
morocco,berber,zimbabwe,shona,3.0,Unc,Definite,Intra-domain,advanced
morocco,berber,barbados,nepali,2.2,Unc,Definite,Intra-domain,advanced
morocco,berber,argentina,marathi,1.0,Unc,Indefinite,Intra-domain,advanced
angry,angrily,happy,happily,5.0,Common,Definite,Intra-domain,easy
angry,angrily,mad,madly,5.0,Common,Definite,Intra-domain,easy
angry,angrily,sad,sadly,4.8,Common,Definite,Intra-domain,easy
angry,angrily,joy,joyfully,4.5,Common,Definite,Intra-domain,easy
angry,angrily,door,silly,1.2,Common,Indefinite,Cross-domain,easy
adroit,adroitly,jejune,jejunely,5.0,Unc,Definite,Intra-domain,advanced
adroit,adroitly,boorish,boorishly,4.8,Common,Definite,Intra-domain,advanced
adroit,adroitly,dowdy,dowdily,4.1,Common,Definite,Intra-domain,advanced
adroit,adroitly,hubristic,hubristically,3.0,Unc,Definite,Intra-domain,advanced
adroit,adroitly,joy,jointly,2.0,Common,Indefinite,Cross-domain,advanced
adroit,adroitly,fearful,freely,1.2,Common,Definite,Cross-domain,advanced
easy,easier,good,better,5.0,Common,Indefinite,Intra-domain,easy
easy,easier,big,bigger,5.0,Common,Definite,Intra-domain,easy
easy,easier,long,longer,4.8,Common,Definite,Intra-domain,easy
easy,easier,bad,worse,4.0,Common,Definite,Intra-domain,easy
easy,easier,window,widower,1.8,Common,Definite,Cross-domain,easy
easy,easier,waste,water,1.0,Common,Indefinite,Cross-domain,easy
wise,wiser,lazy,lazier,5.0,Common,Definite,Intra-domain,easy
wise,wiser,thin,thinner,5.0,Common,Definite,Intra-domain,easy
wise,wiser,tall,taller,5.0,Common,Definite,Intra-domain,easy
wise,wiser,many,more,3.6,Common,Definite,Intra-domain,easy
wise,wiser,fast,quicker,3.2,Common,Definite,Intra-domain,easy
wise,wiser,merry,marry,1.0,Common,Definite,Intra-domain,easy
north,up,south,down,5.0,Common,Definite,Intra-domain,medium
north,up,west,left,5.0,Common,Definite,Intra-domain,medium
north,up,east,right,5.0,Common,Definite,Intra-domain,medium
north,up,western,right,3.2,Common,Definite,Intra-domain,medium
north,up,north,southern,1.2,Common,Definite,Intra-domain,medium
gauck,germany,hollande,france,5.0,Unc,Definite,Intra-domain,advanced
gauck,germany,mattarella,italy,5.0,Unc,Definite,Intra-domain,advanced
gauck,germany,putin,russia,4.5,Unc,Definite,Intra-domain,advanced
gauck,germany,fischer,austria,4.0,Unc,Definite,Intra-domain,advanced
gauck,germany,mukherjee,india,4.0,Unc,Definite,Intra-domain,advanced
gauck,germany,merkel,germany,3.0,Unc,Definite,Intra-domain,advanced
gauck,germany,robert,canada,1.0,Unc,Definite,Intra-domain,advanced
india,modi,bangladesh,hasina,5.0,Unc,Definite,Intra-domain,advanced
india,modi,bhutan,tobgay,5.0,Unc,Definite,Intra-domain,advanced
india,modi,china,keqiang,5.0,Unc,Definite,Intra-domain,advanced
india,modi,nepal,oli,5.0,Unc,Definite,Intra-domain,advanced
india,modi,singapore,loong,4.8,Unc,Definite,Intra-domain,advanced
india,modi,japan,abe,4.0,Unc,Definite,Intra-domain,advanced
india,modi,maldives,merkel,1.6,Unc,Indefinite,Intra-domain,advanced
spiderman,raimi,avengers,whedon,5.0,Unc,Definite,Intra-domain,hard
spiderman,raimi,aquaman,wan,5.0,Unc,Definite,Intra-domain,hard
spiderman,raimi,hulk,lee,4.8,Unc,Definite,Intra-domain,hard
spiderman,raimi,thor,branagh,4.2,Unc,Definite,Intra-domain,hard
spiderman,raimi,batman,martinson,4.0,Unc,Definite,Intra-domain,hard
spiderman,raimi,zorro,cameron,3.4,Unc,Definite,Intra-domain,hard
spiderman,raimi,superman,warner,3.0,Unc,Definite,Intra-domain,hard
spiderman,raimi,supergirl,marvel,1.8,Unc,Definite,Cross-domain,hard
cinderella,jackson,tangled,howard,5.0,Unc,Definite,Intra-domain,advanced
cinderella,jackson,aladdin,clements,4.6,Unc,Definite,Intra-domain,advanced
cinderella,jackson,enchanted,lima,4.2,Unc,Definite,Intra-domain,advanced
cinderella,jackson,tarzan,yates,4.0,Unc,Definite,Intra-domain,advanced
cinderella,jackson,frozen,lee,3.4,Unc,Definite,Intra-domain,advanced
cinderella,jackson,dumbo,smith,3.0,Unc,Definite,Intra-domain,advanced
cinderella,jackson,bambi,pearce,1.0,Unc,Definite,Intra-domain,advanced
paris,eiffel,giza,pyramid,5.0,Common,Definite,Intra-domain,hard
paris,eiffel,alexandria,lighthouse,5.0,Common,Definite,Intra-domain,hard
paris,eiffel,rome,colosseum,4.8,Common,Definite,Intra-domain,hard
paris,eiffel,rhodes,colossus,4.8,Common,Definite,Intra-domain,hard
paris,eiffel,wiltshire,stonehenge,4.6,Common,Definite,Intra-domain,hard
paris,eiffel,agra,taj,3.2,Common,Definite,Intra-domain,hard
paris,eiffel,pisa,tower,2.8,Common,Definite,Intra-domain,hard
paris,eiffel,egypt,stone,1.0,Common,Definite,Intra-domain,hard
victoria,africa,taal,philippines,4.2,Unc,Definite,Intra-domain,advanced
victoria,africa,baikal,russia,4.0,Unc,Definite,Intra-domain,advanced
victoria,africa,nasser,egypt,2.0,Common,Indefinite,Cross-domain,advanced
victoria,africa,caspian,russia,3.8,Unc,Definite,Intra-domain,advanced
victoria,africa,malawi,tanzania,3.6,Unc,Definite,Intra-domain,advanced
victoria,africa,thames,ireland,2.8,Unc,Definite,Intra-domain,advanced
victoria,africa,blue,india,1.0,Unc,Definite,Intra-domain,advanced
puka,philippines,fakistra,greece,5.0,Unc,Definite,Intra-domain,advanced
puka,philippines,sunj,croatia,5.0,Unc,Definite,Intra-domain,advanced
puka,philippines,ipanema,brazil,4.8,Unc,Definite,Intra-domain,advanced
puka,philippines,blinky,australia,4.5,Unc,Indefinite,Intra-domain,advanced
puka,philippines,baga,goa,4.0,Unc,Definite,Intra-domain,advanced
puka,philippines,greenfield,australia,3.8,Unc,Definite,Intra-domain,advanced
puka,philippines,black,spain,2.1,Unc,Indefinite,Intra-domain,advanced
microsoft,gates,infosys,murthy,5.0,Unc,Definite,Intra-domain,advanced
microsoft,gates,facebook,zuckerberg,5.0,Unc,Definite,Intra-domain,advanced
microsoft,gates,ibm,flint,4.7,Unc,Definite,Intra-domain,advanced
microsoft,gates,dell,michael,4.5,Unc,Definite,Intra-domain,advanced
microsoft,gates,yahoo,mayer,4.0,Unc,Definite,Intra-domain,advanced
microsoft,gates,wipro,premji,3.8,Unc,Definite,Intra-domain,advanced
microsoft,gates,google,page,2.0,Unc,Indefinite,Intra-domain,advanced
microsoft,gates,lenovo,craig,1.8,Unc,Indefinite,Cross-domain,advanced
physicist,einstein,mathematician,aryabhata,5.0,Unc,Definite,Intra-domain,advanced
physicist,einstein,surgeon,lister,5.0,Unc,Definite,Intra-domain,advanced
physicist,einstein,chemist,curie,4.8,Common,Definite,Intra-domain,advanced
physicist,einstein,actor,dicaprio,4.5,Common,Indefinite,Cross-domain,advanced
physicist,einstein,physician,blackwell,4.6,Unc,Indefinite,Intra-domain,advanced
physicist,einstein,zoologist,hanna,4.4,Common,Definite,Intra-domain,advanced
physicist,einstein,biologist,darwin,4.2,Common,Definite,Intra-domain,advanced
physicist,einstein,geologist,bascom,4.0,Unc,Definite,Intra-domain,advanced
physicist,einstein,psychologist,leon,4.0,Unc,Definite,Cross-domain,advanced
physicist,einstein,history,newton,1.9,Common,Indefinite,Intra-domain,advanced
tyro,inexperienced,vernacular,regional,5.0,Unc,Definite,Intra-domain,advanced
tyro,inexperienced,bigot,prejudiced,4.6,Unc,Indefinite,Intra-domain,advanced
tyro,inexperienced,citadel,fortified,4.0,Unc,Definite,Cross-domain,advanced
tyro,inexperienced,bishop,ordained,3.2,Unc,Indefinite,Cross-domain,advanced
tyro,inexperienced,rivulet,small,2.4,Unc,Indefinite,Cross-domain,advanced
tyro,inexperienced,vitriol,sweet,1.8,Unc,Indefinite,Cross-domain,advanced
tyro,inexperienced,liar,loved,1.0,Unc,Indefinite,Cross-domain,advanced
angiosperms,maple,gymnosperms,pine,5.0,Unc,Definite,Intra-domain,advanced
angiosperms,maple,bryophytes,mosses,5.0,Unc,Definite,Intra-domain,advanced
angiosperms,maple,thallophyta,algae,5.0,Unc,Definite,Intra-domain,advanced
angiosperms,maple,pteridophytes,ferns,4.6,Unc,Indefinite,Intra-domain,advanced
angiosperms,maple,monocot,dicot,2.4,Unc,Indefinite,Intra-domain,advanced
tennis,racket,cricket,bat,5.0,Common,Definite,Intra-domain,hard
tennis,racket,hockey,stick,5.0,Common,Definite,Intra-domain,hard
tennis,racket,golf,club,4.8,Common,Definite,Intra-domain,hard
tennis,racket,badminton,bat,3.6,Common,Definite,Intra-domain,hard
tennis,racket,football,racket,1.0,Common,Indefinite,Intra-domain,hard
zippo,lighter,michelin,tyre,5.0,Common,Definite,Intra-domain,advanced
zippo,lighter,maclaren,stroller,4.6,Unc,Indefinite,Cross-domain,advanced
zippo,lighter,crocs,clogs,4.0,Common,Indefinite,Cross-domain,advanced
zippo,lighter,flexi,leash,4.0,Unc,Definite,Cross-domain,advanced
zippo,lighter,titan,watch,3.2,Common,Definite,Intra-domain,advanced
zippo,lighter,lenovo,door,1.0,Unc,Definite,Cross-domain,advanced
tailor,cloth,goldsmith,gold,5.0,Common,Definite,Cross-domain,hard
tailor,cloth,carpenter,wood,5.0,Common,Definite,Intra-domain,hard
tailor,cloth,bladesmith,iron,4.6,Common,Definite,Intra-domain,hard
tailor,cloth,blacksmith,steel,4.0,Common,Definite,Intra-domain,hard
tailor,cloth,brownsmith,copper,4.0,Common,Indefinite,Cross-domain,hard
tailor,cloth,cobbler,lace,3.4,Common,Indefinite,Cross-domain,hard
tailor,cloth,painter,stone,2.0,Common,Indefinite,Intra-domain,hard
tailor,cloth,plumber,needle,1.7,Common,Indefinite,Cross-domain,hard
carpenter,saw,tailor,needle,5.0,Common,Indefinite,Cross-domain,advanced
carpenter,saw,gardener,shear,5.0,Common,Definite,Intra-domain,advanced
carpenter,saw,plumber,wrench,4.5,Common,Indefinite,Intra-domain,advanced
carpenter,saw,electrician,plier,4.4,Common,Indefinite,Intra-domain,advanced
carpenter,saw,cobbler,chisel,3.8,Common,Indefinite,Intra-domain,advanced
carpenter,saw,potter,silk,1.0,Common,Indefinite,Intra-domain,advanced
elephant,ivory,fox,fur,5.0,Common,Definite,Intra-domain,advanced
elephant,ivory,sheep,wool,5.0,Common,Definite,Intra-domain,advanced
elephant,ivory,snake,skin,4.2,Common,Definite,Intra-domain,advanced
elephant,ivory,cow,milk,3.8,Common,Definite,Intra-domain,advanced
elephant,ivory,cow,manure,2.7,Common,Indefinite,Intra-domain,advanced
elephant,ivory,duck,milk,2.0,Common,Indefinite,Intra-domain,advanced
elephant,ivory,goat,egg,1.2,Common,Indefinite,Intra-domain,advanced
hair,comb,teeth,toothbrush,5.0,Common,Definite,Intra-domain,hard
hair,comb,nail,filer,4.6,Common,Definite,Intra-domain,hard
hair,comb,eyelash,brush,4.5,Common,Indefinite,Intra-domain,hard
hair,comb,eye,liner,3.95,Common,Indefinite,Intra-domain,hard
hair,comb,lip,pencil,3.0,Common,Indefinite,Intra-domain,hard
hair,comb,nose,comb,1.8,Unc,Indefinite,Cross-domain,hard
hair,comb,hand,lipstick,1.0,Common,Indefinite,Cross-domain,hard
drawer,handle,door,knob,5.0,Common,Definite,Intra-domain,hard
drawer,handle,gate,bolt,4.4,Common,Indefinite,Intra-domain,hard
drawer,handle,window,pull,4.2,Common,Indefinite,Intra-domain,hard
drawer,handle,suitcase,zip,4.0,Common,Indefinite,Intra-domain,hard
drawer,handle,door,handle,3.0,Common,Indefinite,Intra-domain,hard
drawer,handle,cupboard,hinge,2.0,Common,Indefinite,Intra-domain,hard
day,week,week,month,5.0,Common,Definite,Intra-domain,easy
day,week,minute,hour,5.0,Common,Definite,Intra-domain,easy
day,week,month,year,4.8,Common,Definite,Intra-domain,easy
day,week,second,minute,4.6,Common,Definite,Intra-domain,easy
day,week,second,hour,3.8,Common,Definite,Intra-domain,easy
day,week,weekend,week,1.8,Common,Indefinite,Intra-domain,easy
needle,sew,scissor,cut,5.0,Common,Definite,Intra-domain,hard
needle,sew,brush,paint,5.0,Common,Definite,Intra-domain,hard
needle,sew,stapler,staple,5.0,Common,Definite,Intra-domain,hard
needle,sew,eraser,erase,4.8,Common,Definite,Intra-domain,hard
needle,sew,glue,paste,4.8,Common,Definite,Intra-domain,hard
needle,sew,thread,join,2.6,Common,Definite,Intra-domain,hard
needle,sew,pencil,sharp,1.5,Common,Indefinite,Cross-domain,hard
shard,glass,splinter,wood,5.0,Unc,Indefinite,Intra-domain,hard
shard,glass,potsherd,pottery,5.0,Unc,Indefinite,Intra-domain,hard
shard,glass,chads,paper,4.8,Unc,Definite,Cross-domain,hard
shard,glass,sediment,rock,4.6,Unc,Definite,Intra-domain,hard
shard,glass,rag,cloth,4.0,Unc,Definite,Intra-domain,hard
shard,glass,pyroclastic,lava,3.2,Unc,Indefinite,Cross-domain,hard
shard,glass,piece,stone,2.0,Common,Definite,Cross-domain,hard
silk,smooth,cotton,soft,4.8,Common,Definite,Intra-domain,hard
silk,smooth,polyester,satiny,4.0,Common,Indefinite,Intra-domain,hard
silk,smooth,jute,itchy,3.8,Common,Definite,Intra-domain,hard
silk,smooth,nylon,soft,3.6,Common,Definite,Intra-domain,hard
silk,smooth,wool,spongy,3.4,Common,Indefinite,Intra-domain,hard
silk,smooth,denim,greasy,2.0,Common,Indefinite,Intra-domain,hard
silk,smooth,viscose,harsh,1.0,Common,Indefinite,Intra-domain,hard
painter,painting,sculptor,sculpture,5.0,Common,Definite,Intra-domain,medium
painter,painting,poet,poem,5.0,Common,Definite,Intra-domain,medium
painter,painting,composer,music,4.8,Common,Definite,Intra-domain,medium
painter,painting,programmer,software,4.6,Common,Definite,Intra-domain,medium
painter,painting,tailor,clothes,4.2,Common,Indefinite,Cross-domain,medium
painter,painting,farmer,grains,3.0,Common,Indefinite,Intra-domain,medium
painter,painting,farmer,photograph,1.3,Common,Indefinite,Cross-domain,medium
painter,painting,pilot,song,1.0,Common,Definite,Cross-domain,medium
square,cube,circle,sphere,5.0,Common,Definite,Intra-domain,advanced
square,cube,triangle,pyramid,4.8,Common,Definite,Intra-domain,advanced
